recipeID,name,category,directions,numberOfServings,author
1,Chicken Makhani,Entree,"*Notes - 3 or 4 chicken breasts is all you need.  A double batch of sauce is a good amount.  Start the naan first, let rise on the cookie sheets while you do the rest.  A double batch of naan is too much, one batch is not enough so make two.  After the naan, make the tandoori chicken.  Once the chicken is in the oven, start the rice.  Once the chicken is out of the oven start the naan while you make the makhani sauce, it takes a while to make all those little naans.  Using fresh cilantro, ginger and chiles makes a BIG difference.

1.  In a small, ungreased skillet, dry-roast the cumin seeds over medium heat, stirring until they turn a shade darker.  Use a mortar and pestle, or a spice mill, to grind the seeds finely.

2.  In a bowl, combine the tomato sauce, ginger, heavy cream, garam masala, salt, green chile, cayenne, cilantro, lemon juice and roasted cumin seeds.  

3.  In a large skilet, melt the butter.  Add the ingredients from the mixing bowl to the hot butter, bring to a simmer and cook over medium heat for 1 minute.  

4.  Add the grilled Tandoori-Style chicken pieces, stirring once to coat and briefly rewarm them.

5.  Transfer the coated chicken to a warm serving platter and spoon additional sauce evenly over the top.  Garnish with cilantro sprigs and serve immediately.",4 servings,
2,Tandoori Chicken,Entree,"Preheat the oven to 350 degrees

Place all the ingredients except the chicken into a bowl, making sure to mix well.  Coat the chicken with the mixture and then placing on a baking sheet that has been coated with non-stick spray.

Bake for 45-50 minutes or until the juices run clear.",,
3,Taco Seasoning,Sauce,"1.  Combine all of the ingredients in a small bowl.

In a large skillet, brown 1 pound ground beeg until crumbly; drain fat.  Add spices & seasonings and 2/3 cup of water; mix thoroughly.  Bring to a boil.  Reduce heat to low and cook, uncovered, 7 to 10 minutes, stirring occasionally.",,
4,Indian Naan,Bread,"1.  Whisk the warm milk/water with the yeast and sugar until the yeast is dissolved.  Cover and let stand in a warm place for 10 minutes.

2.  Sift flour and salt three times into a large bowl add the yeast mixture, half of the ghee and the yogurt.  Mix into a soft dough then knead on a floured surface for about 5 minutes or until dough is smooth and elastic.  Place the dough in a large greased bowl, cover and let stand in a warm place for 1 1/2 hours or until the dough is doubled in size.

3.  Punch down dough then knead for 5 minutes.  Divide dough into 6 pieces.  Roll each piece out into 8 inch round naans.  

4.  Cover an oven tray with foil and grease the foil.  Brush tha naan with a little of the remaining ghee and sprinkle with some of the kalonji.  Cook naan one at a time under a very hot grill (450 degree convection roast) for about 2 minutes on each side or until puffed and just browned.",6 pieces of naan,
5,Garam Masala,Miscellaneous,In a heavy-bottomed pan fry all the ingredients for 5 minutes over medium heat.  Remove from heat.  Grind all the roasted ingredients together to a powder.  Store in an airtight container.,,
6,Mango Lassi,Miscellaneous,Blend all the ingredients in an electric blender.  Serve cold.,,
7,Shrimp Biryani,Entree,"Soak rice in cold water for 20 minutes.

Preheat the oven to 300 degrees.

Grind the ginger, garlic, green chiles, garam masala, cashew nuts and coconut to make a paste.

Heat 3 tablespoons of ghee in a pan and add half of the onions and fry until golden brown.  Add the ground paste and stir fry for about 5 minutes.  Add the shrimp and 1/2 tsp salt.  Mix well untill all the shrimps are coated with masala and cook for 5 minutes over low heat.  Remove from heat and set aside.  Take another pan and heat 2 tbl ghee and fry the bay leaves and the rest of the onions and fry until the onions are golden brown.  Add the rice and stir fry until the rice becomes translucent (about 10 minutes).  Add the 1/2 tsp salt and 2 cups of water.  Cover the pan and cook over low heat for 15 minutes or until the rice is almost done.  

Mix the rice and shrimp together and transfer it to a casserole.  Cover with aluminum foil and bake for 10-15 minutes at 300 degrees.  Sprinkle with lime juice and garnish with fried cashews and raisins.",,
8,Creme Brulee,Dessert,"Preheat the oven to 300F.  In a heavy medium saucepan, combine the cream,  vanilla bean and salt.  Warm over moderate heat until the surface begins to shimmer, about 5 minutes.  In a large bowl, stir the egg yolks and sugar until blended.  Pour in the hot cream and stir gently to avoid forming air bubbles.  Strain the custard into a large measuring glass and skim off and surface air bubbles.  (Rinse the vanilla bean and reserve for future use.) Place 8 3/4-cup ramekins in a roasting pan.  Pour the custard into the ramekins, filling them up to the rim.  Place the roasting pan in the oven and pour in enough warm water to reach halfway up the sides of the ramekins.  Cover loosely with foil and bake for 1 1/4 hours, or until the custard is firm around the edges.  (It may still be wobbly in the center but it will firm up as it chills.) Remove the ramekins from the water bath and let cool. 
 
Cover and refrigerate until cold, at least 3 hours.  (The custards can be prepared to this point up to 2 days ahead.  If small pools of liquid develop on the surfaces, blot with a paper towel before proceeding.) Preheat the broiler or a salamander.  Set the ramekins on a baking sheet.  Sieve 1 tablespoon of brown sugar over the top of each custard in a thin layer.  Using a spatula or knife, spread the sugar evenly.  Broil the custards as close to the heat as possible until the sugar is caramelized, 30 seconds to 2 minutes; watch carefully.  Let cool and serve immediately or refrigerate for up to 4 hours.",8 3/4 cup servings,Michelle Higgins
12,Turkey Tetrazzini With Almonds,Entree,"In a saucepan, over medium heat, combine cornstarch, milk, water, bullion cubes, salt, garlic powder, and pepper.  Bring the mixture to a boil, stirring constantly.  Remove from heat and stir in grated parmesan cheese, mushrooms, noodles and turkey.  Coat a 9"" casserole dish with vegetable cooking spray.  Spoon the turkey mixture into the dish and top with sliced almonds and bread crumbs.  Bake at 375 degrees for 25 minutes or until the mixture bubbles and the top is browned. Cook the noodles before baking!!!!",6,
13,Turkey Soup Continental,Soup,"In a large kettle saute finely chopped onions in melted butter.  Add chopped turkey, diced potatoes, diced celery, and chicken broth.  Simmer until the vegetables are tender-crisp.  

Add corn, half and half, salt, paprika, ginger, pepper and chopped parsley.  Heat through, stirring occasionally",6,Michelle Higgins
14,Herb Butter Sauce,Sauce,"Melt butter and olive oil in a medium saucepan over medium heat.  Saute garlic until fragrant, about 2 minutes.  Stir in parsely, basil, oregano, salt and pepper.  Simmer for 7 minutes, or until thoroughly heated.  Remove from heat and toss with pasta until evenly coated.  Serve immediately.",8,
15,Old Fashioned Bread Pudding,Dessert,"Oven temp: 350 degrees
Baking time: 45 minutes
Place bread crumbs in a buttered baking dish (1 1/2 quart) and set aside.  Scald milk and butter.  In a large bowl combine sugar, eggs, salt, cinnamon, raisins.  Stir some of the milk into the egg mixture; gradually add the entire milk mixture to the eggs; stirring constantly.  Pour over the bread crumbs.  Bake in 350 degree oven until silver knife inserted one inch from edge comes out clean.",6-8,
16,Garlic Cheese Green Beans,Side Dish,"In a large skillet melt margarine with olive oil; add garlic and cook until lightly browned, stirring frequently.  Stir in green beans and season with salt and pepper.  Cook until beans are tender, about 10 minutes.  Remove from heat and sprinkle with Parmesan cheese.",,
17,French Bread Rolls to Die For,Bread,Put in bread machine.  Bake.,,
19,Saffron Rice,Side Dish,"*Note - This makes a HUGE amount of rice.  Try making a half batch.

Place the saffron in a small bowl and cover with 3 tbl boiling water.  Soak for 10 minutes.  Meanwhile heat the butter over moderate heat in a large 3 or 4 quart stockpot.  Add the cinnamon and cloves and stir well.  Add onions and saute for about 5 minutes.  Add the rice and stir for about 5 minutes.  Pour in 4 cups of boiling water and salt.  Bring rice to a boil over high heat.  Add the saffron and its soaking water.  Stir gently.  Cover, reduce heat and cook for 25 minutes (never takes that long).  Fluff and serve hot.",,
20,Grilled Chicken with Orange-Cilantro Salsa,Entree,"Combine oranges, cilantro, onion, olive oil, vinegar, jalapenos, reserved juice and salt in medium bowl.  Cover, refrigerate salsa for at least 2 hours.  

Grill or broil chicken until golden on outside and no longer pink in center.  Top each breast with salsa.  Great with rice.",4,
21,Chantelle's Fudge,Dessert,"Combine 1st four ingredients in pot.  Bring to a boil for five minutes, stirring constantly until soft ball stage.  Remove fron heat and stir in rest of ingredients until melted.  Pour into and 8x8 buttered pan.",,
22,Spanish Rice,Side Dish,"Heat oil in a medium saucepan.  Saute onion and green pepper until tender.  Add garlic and cook briefly.  Add rice and cook, stirring, until slightly toasty.  Meanwhile drain the tomatoes, reserving juice.  Chop tomatoes.  Add water to juice to make 2 cups.  Add liquid to pan, along with remainng ingredients.  Bring to a simmer, lower heat, cover and cook until rice is cooked and liquid is absorbed, about 20-25 minutes.",,
23,Tangy Sweet BBQ Sauce,Sauce,Chop onion. Saute in margarine until lightly colored.  Add all other ingredients and simmer for 30 minutes.  Makes 7 cups.,,
24,Bread Machine Bagels,Bread,"Place ingredients in bread machine, use dough setting, when setting completed remove dough from pan (if not using a bread machine, knead dough for ~5 minutes and let rise in a warm place).

Place dough on lightly floured surface.  Punch and knead for 5-10 minutes until smooth.  Cut into 5 equal pieces.  From each piece form a ball and make a hole in each using your thumbs.  Stretch until smooth and hole is about 1 inch.  Place bagels on greased baking sheet and let rise covered for 10 minutes.  Heat oven to 400F, boil 6 cups of water in a large saucepan or skillet.  Cook bagels 2 at a time for 3 minutes, turning once.  Place bagels on greased sheet.  Brush with beaten egg and sprinkle with favorite toppings.  Bake at 400F for 20-25 minutes until deep golden brown.  Cool on a wire rack.",5,
25,Cashew Rice,Side Dish,"In a 2 quart baking dish, combine rice (uncooked), water, salt and margarine.  Cover dish with foil.  Bake at 350 degress for 45 minutes to 1 hour.  (45 minutes in our oven)
 
About 15 minutes before rice is done, saute in a saucepan over medium heat, carrots, onions, cashews and continue cooking for 5 minutes (Until things start to brown).  Just before serving, toss the vegetables with the rice.",,
26,Applebee's White Chocolate & Walnut Blondie - Cake,Dessert,"Preheat oven to 325 degrees.

To make the blondie cake whip the egg whites until they are stiff and form peaks.  Add softened butter, 1/2 cup packed brown sugar, 1/4 cup granulated sugar, and vanilla and mix with an electric mixer until smotth.  In a sepaprate bowl sift together flour, baking soda, baking powder and 1/4 tsp salt.  Add the dry ingredients to the wet ingredients and mix well until smooth.  Mix in milk, white chocolate chunks, and walnuts.  Pour ingredients into a greased 9x13 inch baking pan and bake for 40-45 minutes or until cake is golden frown on top.  Slice cake into 8 equal slices when cool.

While cake bakes, make the sauce (Applebee's White Chocolate & Walnut Blondie - Sauce) 

To prepare dessert, heat a skillet in a hot oven for 10 to 15 minutes (you can also serve the dessert on a plate).  Arrange the cake on the skillet or plate.  Heat up the sauce for 30 to 60 seconds in the microwave until hot.  Place a scoop of vanilla ice cream on the cake, then drizzle some of the sauce over the top, followed by a tablespoon of chopped walnuts.  Serve immediately.

Credit: http://www.TopSecretRecipes.com",8,Michelle Higgins
27,Applebee's White Chocolate & Walnut Blondie Sauce,Dessert,"Combine all ingredients in a medium bowl with an electric mixer.

Credit: http://www.TopSecretRecipes.com",,Michelle Higgins
28,Grilled Tenderloin with Garlic-Cilantro Butter,Entree,"Cut tenderloins crosswise into 1-inch pieces, flatten slightly.  Combine the rest of the ingredients.  Marinate pork in mixture 4 hours, refrigerated.  Remove pork from marinade.  Panbroil in heavy skillet over medium-high heat 2-3 minutes per side.  

Garlic Cilantro Butter:  Process together 1/2 pound butter, 1/4 cup fresh cilantro, 2 tsp lime juice, 2 tbl roasted garlic.

Roasted Garlic:  Place garlic in a small roasting pan (small aluminum bread pan works great).  Cover garlic with olive oil.  Bake at 350 degrees until garlic is soft (30 minutes or less in our oven).
",6,
29,Wonton (Soup/Fried),Appetizer,"Put all ingredients in food processor and mix to mush... add a bit of cornstarch if mixture does not hold together.  Fill each wonton wrapper with a 1/2 tbl or so - fold and seal using a bit of water around the edges (ancient Chinese secret!).

For soup:
Add wontons to chicken stock at rolling boil.  Cook for 5 minutes.  Garnish with chopped green onion and serve.

To Fry:
Preheat 1/4"" peanut oil in wok over medium heat.  Fry 4-6 wontons at a time for 2-3 minutes on each side or until lightly browned.  Drain on brown paper.  Yummy with Duck Sauce for dipping.
",2-3,
30,German Oven Pancakes,Breakfast,"Heat oven to 375 deg.  Mix all ingredients together.  Grease and flour a 9"" glass pie plate.  Bake at 375 deg. for 25 min or until done.",1-2,
31,Crepes,Breakfast,"Sift dry ingredients together in bowl.  Combine milk, butter and eggs in separate bowl and stir into dry mixture.  Mix with hand mixer or in blender until smooth.  Pour about 3 tbl at a time into heated, greased skillet - tilt pan quickly to cover bottom of pan.  Brown lightly and flip to brown on reverse.",2-3,Michelle Higgins
32,Pizza Hut Pan Pizza,Entree,"Mix yeast, sugar, salt, and dry milk in a large (2 qt.) bowl.  Add water and stir to mix well.  Allow to sit for two minutes.  Add oil and stir again.  Add flour and stir until dough forms and flour is absorbed.  Turn out on flat surface and kneed for 10 minutes.

  Divide dough into three balls.  Put 3 oz of oil in each of three 9"" pie pans and allow to spread evenly over pan bottoms.  Roll each dough ball into a 9"" circle and place in a pie pan.  Spray outer edge of each dough with Pam.  Cover with a plate and place each in a warm area to rise or 1 to 1 1/2 hours.

  Make sauce now (see ""Pizza Hut Pizza Sauce"")

  Preheat oven to 475 deg.  
  1.) Put 1/3 cup sauce on each dough and spread evenly to about 1"" of edge.  
  2.) Spread 1 1/2 oz of mozzarella on each dough.
  3.) Place toppings in this order:
    a.) Pepperoni or Ham
    b.) Vegetables
    c.) Meats (cooked sausage or ground beef)
  4.) Top each with 3 oz more mozzarella.
  5.) Cook until cheese is bubbling and outer crust is brown.
",3,
33,Dill Chicken in Foil,Entree,"Sprinkle chicken thighs with salt and pepper.  In small container, mix together melted margarine, lemon juice and dill weed.   Cut eight 12-inch squares of heavy duty aluminum foil; spray each with vegetable cooking spray.  Place 1 tsp of dill-margarine sauce on center of each foil square; place 1 chicken thigh on sauce.  On each chicken thigh, sprinkle 1 teaspoon green onion and 2 tbl carrot slices; top each with 1 additional teaspoon of the sauce and 1 slice of cheese.  Fold foil into packets, sealing securely.   Label, date and freeze chicken until needed.*  When ready to serve, put frozen foil packets in baking pan and place in 400 degree oven for about 1 hour or until fork can be inserted in chicken with ease. 

*If serving immediately without freezing, place foil packets in baking pan and bake in 400 degree oven for about 30 minutes or until fork can be inserted in chicken with ease.",4,
34,Filet Mignon Texas Style,Entree,"Mix all the ingredients, except the filet mignons and oil, together in a small bowl.

Generously season the filets by rubbing and patting all over with spice mix.  Let sit, lightly covered with waxed paper at room temperature for 1 hour. 

To cook, heat the oil in a large, heavy skillet over medium-high heat.  Fry the steaks 3 minutes per side for medium-rare. (Do not worry about the blackened crust.)  Serve immediately.",4,
35,Filet Mignon with Rich Balsamic Glaze,Entree,"1) Sprinkle freshly ground pepper over both sides of each filet and sprinkle with salt to taste.  

2) Heat a nonstick skillet over medium-high heat until hot.  Place filets in hot pan, and cook each side for 1 minute, covered, until browned.  Turn heat down to medium-low, add 1/4 cup balsamic vinegar and all of the red wine.  Cover, and continue to cook for 4 minutes each side, uncovering once to turn filets and spoon balsamic-wine glaze over filets. Add additional balsamic vinegar if needed.  

3) Remove filets to two warmed plates, spoon one tablespoon of glaze over each, and serve immediately.",2,
36,Blueberry Streusal Muffins,Breakfast,"Blend all streusal ingredients together and set aside.

Sift together flour, baking powder, and salt; set aside.  In mixing bowl, cream butter with sugar until fluffy.  Add egg, beat until smooth, then add vanilla.  To this creamed mix alternately add the flour mixture and the milk.  Blend completely, then fold in blueberries.  Fill 12 regular size greased muffin cups two-thirds full.  Sprinkle streusal over top of muffins.  Bake at 400 degrees for 20 minutes or when tested, the toothpick comes clean.  Cool 5 minutes, then remove from pan and cool completely on the rack.",12 muffins,
37,Lawry's Taco Spices and Seasonings,Miscellaneous,"1. Combine all of the ingredients in a small bowl.

2. In a large skillet, brown 1 pound ground beef until crumbly; drain fat.  Add spices and seasonings and 2/3 cup water; mix thoroughly.  Bring to a boil: reduce heat to low and cook, uncovered, 7 to 10 minutes, stirring occasionally.",filling for 12 tacos,
38,Red Lobster Cheddar Biscuits,Bread,"1. Preheat oven to 450 degrees.

2. Combine baking mix, 1 cup of the cheddar cheese, garlic, milk and 1 half of the melted butter in a medium bowl.  Mix by hand until well-combined.

3.  Form the biscuits and sprinkle remaining cheese and parsely over the tops.",,
39,Mexican Pizza,Entree,"Preheat oven to 400 degrees.  Start frying the shells while hamburger is cooking!!!

1.  In a medium bowl, combine the ground beef with the flour, chili powder, salt, dried onion, paprika, garlic powder and onion powder.  Use your hands to thoroughly incorporate everything into the ground beef.

2.  Preheat a skillet over medium heat, and add the ground beef mixture to the pan along with the water.  Brown the beef mixture for 5-6 minutes, using a wooden spoon or spatula to break up the meat as it cooks.

3.  Heat oil in a frying pan over medium-high heat.  If oil begins to smoke, it is too hot.  When oil is hot, fry each tortilla for about 30-45 seconds per side and set aside on brown paper bags.  When fryig each tortilla, be sure to pop any bubbles that form so that tortilla lays flat in oil.  Tortillas should become golden brown.  

4.  When meat and tortillas are done, stack each pizza by first spreading meat on the tortilla.  Place another tortilla on top and cover the surface with salsa.  Finally, top with monterey jack and cheddar cheese.

5.  Place pizzas in oven on cookie sheets and bake until cheese melts.",,
40,Pizza Hut Pizza Sauce,Sauce,Combine all ingredients and let sit for 1 hour.,3,
41,Devilled Eggs,Appetizer,"Hard boil eggs.  Allow to completely cool.  Cut eggs in half longwise and remove the yolks, saving the yolks in a bowl.  Mix the egg yolks with the rest of the ingredients, using just enough vinegar or cream to moisten.  Place the mixture into each egg white.",6 eggs,
42,Barbecue Sauce,Sauce,,,
43,Grilled Marinated Beef with Carmelized Onions,Entree,"Mix marinade ingredients together in bowl.  Remove 1/4 of the marinade and save for basting.  Gently score steak, spread with marinade  and allow to stand 1-2 hours at room temperature or refrigerate if marinating longer.  Grill for 5 minutes each side before marinating.  Cook until done (smoking with wood chips works nicely!)

Carmelized Onions:
Heat olive oil and butter in heavy skillet until almost smoking.  Add onions and saute until translucent (10-15 minutes).  Add brown sugar and chicken stock and season with salt and pepper to taste.  Simmer until all liquid is absorbed.

Slice steak into 1/4 thick slices and top with onions.  Yum!

Onions go fast!  Make extra!",4,
44,Chicken Marsala with Proscuitto,Entree,"1. Melt butter over low heat in a medium saucepan.

2. Turn heat up to medium/high to saute the prosciutto in the melted butter for about 2-3 minutes (be careful not to burn the butter). Add shallots and garlic and saute for about 30 seconds.  Add marsala wine, simmer for another 30 seconds or so, then add mushrooms (drain off liquid from can first) and black pepper.  Simmer over medium/high heat for 5 minutes.

3. Dissolve corn starch in chicken stock.  Add stock to the saucepan and simmer for an additional 5 minutes.  

4.  Add parsley and cream to the sauce and simmer for 3 to 4 minutes or until thick.  Remove pan from heat, then cover until needed.

5.  Preheat barbecue grill on high heat.  Combine ingredients for chicken spice in a small bowl.  Use your thumb and fingers to crush the spices in the bowl to make a finer blend.  

6.  Brush each chicken breast with olive oil.  Sprinkle spice blend over both sides of each chicken breast and grill for 6 to 8 minutes per side, or until done.  

7.  Serve chicken with sauce.

Credit: http://www.TopSecretRecipes.com",4,Michelle Higgins
45,Pork Tenderloin with Molasses Sauce,Entree,"In a plastic bowl combine sherry, molasses and soy sauce.  Pour over pork chops (I use tenderloins).  Cover, refrigerate 30 minutes.  Prepare grill. Drain pork chops, grill over medium-high heat 20 to 30 minutes, or until pork is no longer pink in center, turning once and brushing frequently with marinade.  Discard any remaining marinade.  Do not baste during last 5 minutes of grilling.  

I usually make a second batch of sauce for dipping.  Don't forget to boil the extra batch to remove the alcohol or it will taste bitter.",,
46,Fajita Seasoning,Miscellaneous,"Mix together all ingredients - add 2-3 tbl to zip-loc bag with sliced chicken strips.  Let sit 15 minutes or so before cooking with onions, etc.

  If a bit of spice is desired, add a bit of red pepper to taste.
",4,
47,Hash Brown Potato Bundles,Side Dish,Heat oven to 375 degrees.  Package a hash brown with a portion of the rest of the ingredients in a tin foil package.  Bake for 35 to 45 minutes.,4,
48,Chicken Cordon Bleu,Entree,"Cut a slit down one side of the chicken and slice through center to create a cavity.  Mix ham, cheese, garlic, wine and pepper.  Spoon mixture into pockets and seal slit with string.  Coat breasts well with season flour, brush with beaten egg and oil, then roll in bread crumbs. Heat oil in frying pan.  Add butter and when butter is foaming, cokk chicken until tender, golden brown and crisp.",4,
49,Oatmeal Raisin Cookies,Dessert,"Heat oven to 350 degrees.

Beat together butter and sugars until creamy.

Add eggs and vanilla; beat well.

Add comined flour, baking soda, cinnamon; mix well.

Stir in oats and raisins; mix well.

Drop by rounded tablespoonfuls onto ungreased cookie sheet.

Bake 10 to 12 minutes or until golden brown.

Cool 1 minute on cookie sheet; remove to wire rack.
",4 dozen cokies,
50,Famous Milk Chocolate Fudge,Dessert,"1. LINE 8-inch-square baking pan with foil. 

2. COMBINE sugar, evaporated milk, butter and salt in medium, heavy-duty saucepan. Bring to a full-rolling boil over medium heat, stirring constantly. Boil, stirring constantly, for 4 to 5 minutes. Remove from heat. 

3. STIR in marshmallows, morsels, nuts and vanilla extract. Stir vigorously for 1 minute or until marshmallows are completely melted. Pour into prepared pan; refrigerate for 2 hours or until firm. Lift from pan; remove foil. Cut into pieces. 

Makes 49 pieces.

Cooking Tip: For thicker fudge, use a 9 x 5-inch loaf pan; refrigerate for 3 hours.

",49,
